Plot Location,Monitoring Period,Year,Depth (m),Average Flow Speed (mps),Maximum Flow Speed (mps),Number of Days,Living Mussel Count,Growth (g per day),Water Temperature (C),Chlorophyll,Turbidity (FTU),Precipitation,Living Mussel Count_lag,Ash Free Dry Weight (g)_lag,Individual Weight (g)_lag,Water Temperature (C)_lag,Chlorophyll_lag,Turbidity (FTU)_lag,Precipitation_lag
Hammen 102,0,0,-9.48,0.29,0.68,33.0,81.0,0.0395,12.592883582524273,2.45326995,2.552468369024896,492.0,80.0,0.100018,2.38,10.994883941747572,3.0385037470992367,2.812275543450704,398.0
Hammen 102,1,0,-9.48,0.29,0.68,26.0,71.0,0.0573,18.219049577669903,1.848944467,3.248279731210375,436.0,81.0,0.251577,3.682716,12.592883582524273,2.45326995,2.552468369024896,492.0
Hammen 102,2,0,-9.48,0.29,0.68,29.0,60.0,0.0265,19.93218302912621,1.9886790160546075,3.736881609848485,2766.0,71.0,0.391079,5.173239,18.219049577669903,1.848944467,3.248279731210375,436.0
Hammen 102,3,0,-9.48,0.29,0.68,33.0,69.0,0.0553,19.44040829126213,1.8407334826562496,2.985607154686192,2266.0,60.0,0.505918,5.943,19.93218302912621,1.9886790160546075,3.736881609848485,2766.0
Hammen 102,4,0,-9.48,0.29,0.68,31.0,77.0,0.0267,17.690582466019418,1.036471693783784,2.901598543030303,3044.0,69.0,0.658877,7.766522,19.44040829126213,1.8407334826562496,2.985607154686192,2266.0
Hammen 102,5,0,-9.48,0.29,0.68,36.0,68.0,0.0475,14.715883779126212,1.979473086308008,4.5310044,1278.0,77.0,0.642089,8.593506,17.690582466019418,1.036471693783784,2.901598543030303,3044.0
Hammen 102,0,1,-9.48,0.29,0.68,29.0,69.0,0.0154,11.117670063106797,3.900608358351955,3.1023170227989136,1566.0,80.0,0.219611,4.11,8.327409354368932,3.900608358351955,3.1023170227989136,1454.0
Hammen 102,1,1,-9.48,0.29,0.68,31.0,66.0,0.0562,15.296183669902916,1.883073991522238,4.016608586222038,106.0,69.0,0.220699,4.557971,11.117670063106797,3.900608358351955,3.1023170227989136,1566.0
Hammen 102,2,1,-9.48,0.29,0.68,33.0,64.0,0.0255,19.070824980582525,3.293569088051884,3.988907508091511,288.0,66.0,0.41918,6.3,15.296183669902916,1.883073991522238,4.016608586222038,106.0
Hammen 102,3,1,-9.48,0.29,0.68,34.0,66.0,0.0478,21.709655349514563,2.098029698785303,3.8538192456040257,1784.0,64.0,0.431403,7.14,19.070824980582525,3.293569088051884,3.988907508091511,288.0
Hammen 102,4,1,-9.48,0.29,0.68,45.0,77.0,0.0439,18.44214747572816,2.180622678322949,2.08575349280798,1048.0,66.0,0.571272,8.764412,21.709655349514563,2.098029698785303,3.8538192456040257,1784.0
Hammen 102,5,1,-9.48,0.29,0.68,15.0,52.0,0.0403,15.694192737864077,1.669783829378882,1.58510513210084,1546.0,77.0,0.7307045000000001,10.742154,18.44214747572816,2.180622678322949,2.08575349280798,1048.0
Hammen 102,0,2,-9.48,0.29,0.68,40.0,75.0,0.0248,11.732378065533975,5.309979431028268,4.571585571796537,578.0,80.0,0.3022289999999999,2.74,9.164593106796117,0.3692052098333333,5.6853938333333325,366.0
Hammen 102,1,2,-9.48,0.29,0.68,28.0,68.5,0.0656,15.939980847087378,1.7950127505778568,2.917458934507464,1320.0,75.0,0.2661923333333333,3.733333,11.732378065533975,5.309979431028268,4.571585571796537,578.0
Hammen 102,2,2,-9.48,0.29,0.68,28.0,62.0,0.0657,19.07225127184466,2.119516424653277,2.9866442964625186,1062.0,68.5,0.379086,5.57,15.939980847087378,1.7950127505778568,2.917458934507464,1320.0
Hammen 102,3,2,-9.48,0.29,0.68,37.0,67.5,0.0292,20.057118417475724,1.6982540697368422,4.2790139524299065,1026.0,62.0,0.490662,7.41,19.07225127184466,2.119516424653277,2.9866442964625186,1062.0
Hammen 102,4,2,-9.48,0.29,0.68,31.0,77.0,0.1129,18.42716125728155,1.9681722821213208,4.156344418720368,1606.0,67.5,0.474732,8.49,20.057118417475724,1.6982540697368422,4.2790139524299065,1026.0
Hammen 102,5,2,-9.48,0.29,0.68,27.0,60.0,0.0168,15.21986455339806,1.9078674432067304,4.218759732142857,2062.0,77.0,0.81932,11.989667,18.42716125728155,1.9681722821213208,4.156344418720368,1606.0
Hammen 102,0,3,-9.48,0.29,0.68,27.0,75.0,0.019,12.363607361650487,3.895943172265176,3.3844626734299523,148.0,80.0,0.211516,4.579348,10.10803868932039,3.2859160307798168,5.366423289334862,310.0
Hammen 102,1,3,-9.48,0.29,0.68,37.0,68.5,0.0408,15.817298548543684,2.233162130274168,4.968790196257537,2828.0,75.0,0.326301,5.093043,12.363607361650487,3.895943172265176,3.3844626734299523,148.0
Hammen 102,2,3,-9.48,0.29,0.68,27.0,62.0,0.0563,18.562155291262133,2.214598339323343,2.834173203772456,1466.0,68.5,0.436851,6.603492,15.817298548543684,2.233162130274168,4.968790196257537,2828.0
Hammen 102,3,3,-9.48,0.29,0.68,49.0,67.5,0.0419,20.099444242718448,1.737849256512772,3.3129036527313485,1240.0,62.0,0.4759943333333333,8.122951,18.562155291262133,2.214598339323343,2.834173203772456,1466.0
Hammen 102,4,3,-9.48,0.29,0.68,45.0,77.0,0.0294,18.395776533980584,1.7688027702484472,2.51714994603139,2224.0,67.5,0.5682936666666666,10.176949,20.099444242718448,1.737849256512772,3.3129036527313485,1240.0
Hammen 102,5,3,-9.48,0.29,0.68,24.0,60.0,0.01,12.843970626213594,1.2386664394444444,7.384641395402299,2282.0,77.0,0.7307045000000001,11.500656,18.395776533980584,1.7688027702484472,2.51714994603139,2224.0
Hammen 102,0,4,-9.48,0.29,0.68,39.0,75.0,0.0395,10.015156475728157,3.1063112640856034,2.8558051879787234,1450.0,80.0,0.19,4.2353,8.029174804854367,2.5127292052469583,2.614171587837209,888.0
Hammen 102,1,4,-9.48,0.29,0.68,18.0,68.5,0.0752,15.90042757524272,2.072725723942932,2.3767896733788394,1994.0,75.0,0.2661923333333333,5.776923,10.015156475728157,3.1063112640856034,2.8558051879787234,1450.0
Hammen 102,2,4,-9.48,0.29,0.68,42.0,62.0,0.06,18.174252121359224,2.0037899838765822,1.9622660887963344,1092.0,68.5,0.406549,7.130308,15.90042757524272,2.072725723942932,2.3767896733788394,1994.0
Hammen 102,3,4,-9.48,0.29,0.68,43.0,67.5,0.0568,19.11331048543689,1.681973342988759,3.1824910008130085,1714.0,62.0,0.4759943333333333,9.650159,18.174252121359224,2.0037899838765822,1.9622660887963344,1092.0
Hammen 102,4,4,-9.48,0.29,0.68,20.0,77.0,0.0355,18.74005839805825,1.5617578753238868,2.1665960068070444,342.0,67.5,0.5682936666666666,12.091864,19.11331048543689,1.681973342988759,3.1824910008130085,1714.0
Hammen 102,5,4,-9.48,0.29,0.68,25.0,60.0,0.0395,15.644591898058252,1.088924381928934,4.478878475315985,1706.0,77.0,0.7307045000000001,12.801607,18.74005839805825,1.5617578753238868,2.1665960068070444,342.0
Hammen 102,0,5,-9.48,0.29,0.68,36.0,75.0,0.0297,11.510816135922331,2.295930287802176,2.6875271251498223,780.0,80.0,0.79,4.19,8.554650669902912,0.9927641786472148,2.1845184656387664,752.0
Hammen 102,1,5,-9.48,0.29,0.68,28.0,68.5,0.0629,16.023533844660193,2.416535922527016,3.360236369079976,1406.0,75.0,0.2661923333333333,5.26,11.510816135922331,2.295930287802176,2.6875271251498223,780.0
