Date,System,Plot Location,Monitoring Period,Location ID,Color ID,Month,Year,Latitude,Longitude,Depth (m),Average Flow Speed (mps),Maximum Flow Speed (mps),Survival Percentage (%),Number of Days,Living Mussel Count,Ash Free Dry Weight (g),Cooked Flesh Weight (g),Individual Weight (g),Mussel Size Measure,Shell Length (mm),Growth (g per day),Growth (mm per day),Median SST (C),Mode SST (C),Median Chlorophyll (mg per m3),Mode Chlorophyll (mg per m3),Median Turbidity (NTU),Mode Turbidity (NTU),Precipitation
2017-04-29,OS,Hammen 102,0.0,6,palegreen,April,2017.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.100018,22.9,2.38,285.836276,30.31,0.0,0.0,10.994883941747572,10.994883941747572,3.0385037470992367,3.0385037470992367,2.812275543450704,2.812275543450704,398.0
2017-06-01,OS,Hammen 102,1.0,6,palegreen,Mei,2017.0,51.64883,3.8421,-9.48,0.29,0.68,101.25,33.0,81.0,0.251577,32.785786,3.682716,186.677878,35.160247,0.0395,0.147,12.592883582524273,11.464861535714284,2.45326995,1.059037052483948,2.552468369024896,2.19109979757037,492.0
2017-06-27,OS,Hammen 102,2.0,6,palegreen,Juni,2017.0,51.64883,3.8421,-9.48,0.29,0.68,88.75,26.0,71.0,0.391079,31.85407,5.173239,134.044009,39.285634,0.0573,0.1587,18.219049577669903,19.535424213187703,1.848944467,0.8824534903846153,3.248279731210375,1.9451465590476191,436.0
2017-07-26,OS,Hammen 102,3.0,6,palegreen,Juli,2017.0,51.64883,3.8421,-9.48,0.29,0.68,75.0,29.0,60.0,0.505918,36.421,5.943,117.093944,40.618833,0.0265,0.046,19.93218302912621,19.329604572815533,1.9886790160546075,0.8828699315807726,3.736881609848485,3.64818222516854,2766.0
2017-08-28,OS,Hammen 102,4.0,6,palegreen,Augustus,2017.0,51.64883,3.8421,-9.48,0.29,0.68,87.5,33.0,69.0,0.658877,34.432439,7.766522,90.21227,44.80029,0.0553,0.1267,19.44040829126213,19.69079495908461,1.8407334826562496,1.2163953970714287,2.985607154686192,5.479369393183487,2266.0
2017-09-28,OS,Hammen 102,5.0,6,palegreen,September,2017.0,51.64883,3.8421,-9.48,0.29,0.68,96.25,31.0,77.0,0.642089,32.008463,8.593506,81.740811,46.58,0.0267,0.0574,17.690582466019418,16.352579303398052,1.036471693783784,0.73581291,2.901598543030303,1.4995845610416665,3044.0
2017-11-03,OS,Hammen 102,6.0,6,palegreen,Oktober,2017.0,51.64883,3.8421,-9.48,0.29,0.68,85.0,36.0,68.0,0.696715,27.267019,10.304412,68.483824,50.29,0.0475,0.1031,14.715883779126212,14.720924532524268,1.979473086308008,1.7577258410472976,4.5310044,3.4545468057777784,1278.0
2018-04-16,OS,Hammen 102,0.0,6,palegreen,April,2018.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.219611,27.426378,4.11,167.868752,36.640303,0.0,0.0,8.327409354368932,8.327409354368932,3.900608358351955,3.900608358351955,3.1023170227989136,3.1023170227989136,1454.0
2018-05-15,OS,Hammen 102,1.0,6,palegreen,Mei,2018.0,51.64883,3.8421,-9.48,0.29,0.68,86.25,29.0,69.0,0.220699,23.338633,4.557971,151.824868,38.703623,0.0154,0.0711,11.117670063106797,10.768312769417475,3.900608358351955,3.9006083583519535,3.1023170227989136,3.1023170227989136,1566.0
2018-06-15,OS,Hammen 102,2.0,6,palegreen,Juni,2018.0,51.64883,3.8421,-9.48,0.29,0.68,82.5,31.0,66.0,0.41918,29.076479,6.3,110.622411,42.76,0.0562,0.1309,15.296183669902916,13.73541319053398,1.883073991522238,1.5740791497634246,4.016608586222038,5.045094434519044,106.0
2018-07-18,OS,Hammen 102,3.0,6,palegreen,Juli,2018.0,51.64883,3.8421,-9.48,0.29,0.68,80.0,33.0,64.0,0.431403,26.6,7.14,97.910461,44.13,0.0255,0.0415,19.070824980582525,19.10107947226075,3.293569088051884,2.388263504704698,3.988907508091511,4.085068297477064,288.0
2018-08-21,OS,Hammen 102,4.0,6,palegreen,Augustus,2018.0,51.64883,3.8421,-9.48,0.29,0.68,85.0,34.0,66.0,0.571272,26.474043,8.764412,80.186785,47.0,0.0478,0.0844,21.709655349514563,20.852365054091536,2.098029698785303,3.01739124495674,3.8538192456040257,5.386055124992351,1784.0
2018-10-05,OS,Hammen 102,5.0,6,palegreen,September,2018.0,51.64883,3.8421,-9.48,0.29,0.68,70.178,45.0,77.0,0.7307045000000001,26.422147,10.742154,65.762569,50.655385,0.0439,0.0812,18.44214747572816,18.984577532593622,2.180622678322949,2.138237564836309,2.08575349280798,1.6045319081249998,1048.0
2018-10-20,OS,Hammen 102,6.0,6,palegreen,Oktober,2018.0,51.64883,3.8421,-9.48,0.29,0.68,65.0,15.0,52.0,0.819506,30.191525,11.346154,62.348342,51.82,0.0403,0.0776,15.694192737864077,15.534957099029128,1.669783829378882,1.0460177316666666,1.58510513210084,1.0287503362684565,1546.0
2019-04-12,OS,Hammen 102,0.0,6,palegreen,April,2019.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.3022289999999999,12.8,2.74,249.028309,31.791375,0.0,0.0,9.164593106796117,9.164593106796117,0.3692052098333333,0.3692052098333334,5.6853938333333325,5.6853938333333325,366.0
2019-05-22,OS,Hammen 102,1.0,6,palegreen,Mei,2019.0,51.64883,3.8421,-9.48,0.29,0.68,82.5,40.0,75.0,0.2661923333333333,32.26461,3.733333,184.210723,35.962273,0.0248,0.1043,11.732378065533975,12.01812594590846,5.309979431028268,1.713670027414449,4.571585571796537,4.224744142573529,578.0
2019-06-19,OS,Hammen 102,2.0,6,palegreen,Juni,2019.0,51.64883,3.8421,-9.48,0.29,0.68,35.0,28.0,68.5,0.379086,13.62,5.57,124.729719,40.92,0.0656,0.1771,15.939980847087378,16.261194875,1.7950127505778568,1.2885387263056682,2.917458934507464,3.1444114917220936,1320.0
2019-07-17,OS,Hammen 102,3.0,6,palegreen,Juli,2019.0,51.64883,3.8421,-9.48,0.29,0.68,40.0,28.0,62.0,0.490662,24.12,7.41,94.439916,43.83,0.0657,0.1039,19.07225127184466,19.22420916019417,2.119516424653277,1.139617347189818,2.9866442964625186,3.4785636675,1062.0
2019-08-23,OS,Hammen 102,4.0,6,palegreen,Augustus,2019.0,51.64883,3.8421,-9.48,0.29,0.68,27.5,37.0,67.5,0.474732,27.979441,8.49,82.711707,46.27,0.0292,0.0659,20.057118417475724,20.20465737517337,1.6982540697368422,1.6742747129545454,4.2790139524299065,4.646850042244445,1026.0
2019-09-23,OS,Hammen 102,5.0,6,palegreen,September,2019.0,51.64883,3.8421,-9.48,0.29,0.68,37.5,31.0,77.0,0.81932,29.628291,11.989667,59.084697,51.678,0.1129,0.1745,18.42716125728155,17.523997446601946,1.9681722821213208,2.083758085416564,4.156344418720368,3.9149355070454543,1606.0
2019-10-20,OS,Hammen 102,6.0,6,palegreen,Oktober,2019.0,51.64883,3.8421,-9.48,0.29,0.68,37.5,27.0,60.0,0.681007,26.155513,12.444386042857143,63.822505,52.80524794285714,0.0168,0.0417,15.21986455339806,15.392749745550162,1.9078674432067304,1.2771108288888888,4.218759732142857,5.520336683191106,2062.0
2020-04-15,OS,Hammen 102,0.0,6,palegreen,April,2020.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.211516,22.273914,4.579348,151.0,37.118986,0.0,0.0,10.10803868932039,10.10803868932039,3.2859160307798168,3.2859160307798168,5.366423289334862,5.366423289334862,310.0
2020-05-12,OS,Hammen 102,1.0,6,palegreen,Mei,2020.0,51.64883,3.8421,-9.48,0.29,0.68,98.57142857,27.0,75.0,0.326301,27.921006,5.093043,136.100669,39.37,0.019,0.0834,12.363607361650487,12.674952145631066,3.895943172265176,2.921792515029762,3.3844626734299523,2.656977749285714,148.0
2020-06-18,OS,Hammen 102,2.0,6,palegreen,Juni,2020.0,51.64883,3.8421,-9.48,0.29,0.68,90.0,37.0,68.5,0.436851,30.455267,6.603492,105.664477,43.903492,0.0408,0.1225,15.817298548543684,16.079623462552007,2.233162130274168,1.933099340417647,4.968790196257537,3.971601321616162,2828.0
2020-07-15,OS,Hammen 102,3.0,6,palegreen,Juli,2020.0,51.64883,3.8421,-9.48,0.29,0.68,87.14285714,27.0,62.0,0.4759943333333333,31.886983,8.122951,86.352184,45.82,0.0563,0.071,18.562155291262133,18.34602597653722,2.214598339323343,1.0505056543377975,2.834173203772456,2.6952739409745767,1466.0
2020-09-02,OS,Hammen 102,4.0,6,palegreen,Augustus,2020.0,51.64883,3.8421,-9.48,0.29,0.68,84.28571429,49.0,67.5,0.5682936666666666,33.054094,10.176949,69.31964,48.66,0.0419,0.058,20.099444242718448,18.90323794313453,1.737849256512772,0.9719558982608696,3.3129036527313485,1.8105027605370367,1240.0
2020-10-17,OS,Hammen 102,5.0,6,palegreen,September,2020.0,51.64883,3.8421,-9.48,0.29,0.68,87.14,45.0,77.0,0.7307045000000001,33.052998,11.500656,61.531878,51.28,0.0294,0.0582,18.395776533980584,18.229262197815537,1.7688027702484472,1.5341173539285715,2.51714994603139,2.638904049375,2224.0
2020-11-10,OS,Hammen 102,6.0,6,palegreen,Oktober,2020.0,51.64883,3.8421,-9.48,0.29,0.68,84.28571429,24.0,60.0,0.7324093333333334,27.275746,11.739492,60.311513,52.9,0.01,0.0675,12.843970626213594,12.706647133899676,1.2386664394444444,0.9208826672897436,7.384641395402299,8.265451242526394,2282.0
