System,Plot Location,Monitoring Period,Month,Year,lat,lon,Depth (m),Average Flow Speed (mps),Maximum Flow Speed (mps),Survival Percentage (%),Number of Days,Living Mussel Count,Ash Free Dry Weight (g),Cooked Flesh Weight (g),Individual Weight (g),Mussel Size Measure,Shell Length (mm),Growth (g per day),Growth (mm per day),Sea Surface Temperature (C),Chlorophyll (mg per m3),Turbidity (FTU),Precipitation
OS,Hammen 102,0.0,April,2017.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.100018,22.9,2.38,285.836276,30.31,0.0,0.0,10.994883941747572,3.0385037470992367,2.812275543450704,398.0
OS,Hammen 102,1.0,Mei,2017.0,51.64883,3.8421,-9.48,0.29,0.68,101.25,33.0,81.0,0.251577,32.785786,3.682716,186.677878,35.160247,0.0395,0.147,12.592883582524273,2.45326995,2.552468369024896,492.0
OS,Hammen 102,2.0,Juni,2017.0,51.64883,3.8421,-9.48,0.29,0.68,88.75,26.0,71.0,0.391079,31.85407,5.173239,134.044009,39.285634,0.0573,0.1587,18.219049577669903,1.848944467,3.248279731210375,436.0
OS,Hammen 102,3.0,Juli,2017.0,51.64883,3.8421,-9.48,0.29,0.68,75.0,29.0,60.0,0.505918,36.421,5.943,117.093944,40.618833,0.0265,0.046,19.93218302912621,1.9886790160546075,3.736881609848485,2766.0
OS,Hammen 102,4.0,Augustus,2017.0,51.64883,3.8421,-9.48,0.29,0.68,87.5,33.0,69.0,0.658877,34.432439,7.766522,90.21227,44.80029,0.0553,0.1267,19.44040829126213,1.8407334826562496,2.985607154686192,2266.0
OS,Hammen 102,5.0,September,2017.0,51.64883,3.8421,-9.48,0.29,0.68,96.25,31.0,77.0,0.642089,32.008463,8.593506,81.740811,46.58,0.0267,0.0574,17.690582466019418,1.036471693783784,2.901598543030303,3044.0
OS,Hammen 102,6.0,Oktober,2017.0,51.64883,3.8421,-9.48,0.29,0.68,85.0,36.0,68.0,0.696715,27.267019,10.304412,68.483824,50.29,0.0475,0.1031,14.715883779126212,1.979473086308008,4.5310044,1278.0
OS,Hammen 102,0.0,April,2018.0,51.64883,3.8421,-9.48,0.29,0.68,100.0,0.0,80.0,0.219611,27.426378,4.11,167.868752,36.640303,0.0,0.0,8.327409354368932,3.900608358351955,3.1023170227989136,1454.0
OS,Hammen 102,1.0,Mei,2018.0,51.64883,3.8421,-9.48,0.29,0.68,86.25,29.0,69.0,0.220699,23.338633,4.557971,151.824868,38.703623,0.0154,0.0711,11.117670063106797,3.900608358351955,3.1023170227989136,1566.0
OS,Hammen 102,2.0,Juni,2018.0,51.64883,3.8421,-9.48,0.29,0.68,82.5,31.0,66.0,0.41918,29.076479,6.3,110.622411,42.76,0.0562,0.1309,15.296183669902916,1.883073991522238,4.016608586222038,106.0
